project|fund|subgrants
0WM|Core|https://nlnet.nl/project/0WM
2D-graphics-hardware|Core|https://nlnet.nl/project/2D-graphics-hardware
4G_FOSS|Review|https://nlnet.nl/project/4G_FOSS
5C|Commons|https://nlnet.nl/project/5C
5G-baseband-emulation|Core|https://nlnet.nl/project/5G-baseband-emulation
AccessibleSecurity|Review|https://nlnet.nl/project/AccessibleSecurity
AccessKit-iOS|Commons|https://nlnet.nl/project/AccessKit-iOS
ActivityPods|Entrust;Commons|https://nlnet.nl/project/ActivityPods;https://nlnet.nl/project/ActivityPods-3.0
Ada-bootstrap|Commons|https://nlnet.nl/project/Ada-bootstrap
Admin NGI0 Commons|Commons|https://nlnet.nl/project/Admin NGI0 Commons
Aerogramme|Review;Commons|https://nlnet.nl/project/Aerogramme;https://nlnet.nl/project/Aerogramme-1.0
Agorakit|Entrust|https://nlnet.nl/project/Agorakit
AI-VPN|Core;Review|https://nlnet.nl/project/AI-VPN;https://nlnet.nl/project/AI-Horde
Aiohttp-typecheck|Commons|https://nlnet.nl/project/Aiohttp-typecheck
Alaveteli|Commons|https://nlnet.nl/project/Alaveteli;https://nlnet.nl/project/Alaveteli-GDPR-Search
AlderLake|Review|https://nlnet.nl/project/AlderLake
AlekSIS|Entrust;Core|https://nlnet.nl/project/AlekSIS;https://nlnet.nl/project/AlekSIS-SCIM
Aleph|Review|https://nlnet.nl/project/Aleph
Alive2|Core|https://nlnet.nl/project/Alive2
allowd|Commons|https://nlnet.nl/project/allowd
Alps|Commons|https://nlnet.nl/project/Alps
Amaranth-HDL|Commons|https://nlnet.nl/project/Amaranth-HDL
AMSL|Review|https://nlnet.nl/project/AMSL
AnalyticsMicroservice|Commons|https://nlnet.nl/project/AnalyticsMicroservice
ApacheFineract|Commons|https://nlnet.nl/project/ApacheFineract
Apicula|Entrust|https://nlnet.nl/project/Apicula;https://nlnet.nl/project/Apicula-IOprimitives
AppInterception|Entrust|https://nlnet.nl/project/AppInterception
Applied-Perspectives|Entrust|https://nlnet.nl/project/Applied-Perspectives
Arcan-A12|Entrust;Core|https://nlnet.nl/project/Arcan-A12;https://nlnet.nl/project/Arcan-A12-directory;https://nlnet.nl/project/Arcan-A12-tools
Archiyou|Commons|https://nlnet.nl/project/Archiyou
Arexera|Review|https://nlnet.nl/project/Arexera
ARMify|Entrust|https://nlnet.nl/project/ARMify
arpa2-nginx|Review|https://nlnet.nl/project/arpa2-nginx
AtomicData|Review|https://nlnet.nl/project/AtomicData
AtomicServer-LocalFirst|Commons|https://nlnet.nl/project/AtomicServer-LocalFirst
AtomicTables|Entrust|https://nlnet.nl/project/AtomicTables
AuthenticatedDNSSECbootstrap|Review|https://nlnet.nl/project/AuthenticatedDNSSECbootstrap
AuthenticatedHeads|Review|https://nlnet.nl/project/AuthenticatedHeads
Authlib|Commons|https://nlnet.nl/project/Authlib
Autocrypt|Review|https://nlnet.nl/project/Autocrypt
Automerge-MST|Core|https://nlnet.nl/project/Automerge-MST
AVantGaRDe|Entrust|https://nlnet.nl/project/AVantGaRDe
Bab|Commons|https://nlnet.nl/project/Bab
Babelia|Review|https://nlnet.nl/project/Babelia
Back2source|Entrust;Core|https://nlnet.nl/project/Back2source;https://nlnet.nl/project/Back2source-next
badkeys|Core|https://nlnet.nl/project/badkeys
Balthazar|Review;Entrust|https://nlnet.nl/project/Balthazar;https://nlnet.nl/project/Balthazar-Casing;https://nlnet.nl/project/Balthazar-Prototype
Bana|Entrust|https://nlnet.nl/project/Bana
BB3-CM4|Entrust;Commons|https://nlnet.nl/project/BB3-CM4;https://nlnet.nl/project/BB3-CM5
BBB-interpretation|Core|https://nlnet.nl/project/BBB-interpretation
BBBsecureChat|Review|https://nlnet.nl/project/BBBsecureChat
bcachefs|Commons;Entrust|https://nlnet.nl/project/bcachefs;https://nlnet.nl/project/bcachefs-crypto-API
BeaconDB|Commons|https://nlnet.nl/project/BeaconDB
betrusted|Review|https://nlnet.nl/project/betrusted
BetrustedOS|Review|https://nlnet.nl/project/BetrustedOS
BetrustedSoftware|Review|https://nlnet.nl/project/BetrustedSoftware
BetrustedStorage|Review|https://nlnet.nl/project/BetrustedStorage
bewCloud|Review|https://nlnet.nl/project/bewCloud
BGP-ForgedOrigin|Core|https://nlnet.nl/project/BGP-ForgedOrigin
BIDS|Core|https://nlnet.nl/project/BIDS
BigBlueButton|Commons|https://nlnet.nl/project/BigBlueButton
bitmask|Review|https://nlnet.nl/project/bitmask
Blink-Windows|Entrust;Review|https://nlnet.nl/project/Blink-Windows;https://nlnet.nl/project/Blink-OTR-OpenPGP
BlinkRELOAD|Review|https://nlnet.nl/project/BlinkRELOAD
BlockNote|Entrust|https://nlnet.nl/project/BlockNote
bluetuith|Core|https://nlnet.nl/project/bluetuith
Bonfire|Review;Entrust|https://nlnet.nl/project/Bonfire;https://nlnet.nl/project/Bonfire-FederatedGroups;https://nlnet.nl/project/Bonfire-Framework
Borg|Commons|https://nlnet.nl/project/Borg
Bottles|Commons|https://nlnet.nl/project/Bottles
BrailleRAP|Entrust|https://nlnet.nl/project/BrailleRAP
Briar|Review|https://nlnet.nl/project/Briar
BrowserAudit|Core|https://nlnet.nl/project/BrowserAudit
Bubble-up|Commons|https://nlnet.nl/project/Bubble-up
BuildTracing|Core|https://nlnet.nl/project/BuildTracing
C-Cpp-packages|Commons|https://nlnet.nl/project/C-Cpp-packages
cables.gl|Commons;Entrust|https://nlnet.nl/project/cables.gl;https://nlnet.nl/project/cables.gl-editorfeatures
CAKE-Maint|Core|https://nlnet.nl/project/CAKE-Maint
Canaille|Entrust|https://nlnet.nl/project/Canaille
Capability-based-RedoxOS|Commons|https://nlnet.nl/project/Capability-based-RedoxOS
