Name,Fund
Py3DTiles - Textured Mesh tiling,Core (https://www.notion.so/Core-9905871309e74052b5fa7d9397ecd876?pvs=21)
Cartes,Core (https://www.notion.so/Core-9905871309e74052b5fa7d9397ecd876?pvs=21)
LeanFTL,Commons (https://www.notion.so/Commons-99d1578632e04ce6a3731cfb8fe8aba3?pvs=21)
bewCloud,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
dream2nix,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
Dream2nix-Python,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
AuthenticatedDNSSECbootstrap,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
LiberaForms-E2EE,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
PeerTubeDesktop,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
PQ-DNSSEC-Testbench,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
Naja,Entrust — amendment 1 (https://www.notion.so/Entrust-amendment-1-23559d49e1be80739e33ff92d0b25d7a?pvs=21)
Seppo,Entrust — amendment 1 (https://www.notion.so/Entrust-amendment-1-23559d49e1be80739e33ff92d0b25d7a?pvs=21)
IPv6-monostack,Core (https://www.notion.so/Core-9905871309e74052b5fa7d9397ecd876?pvs=21)
OWASP-dep-scan,Core (https://www.notion.so/Core-9905871309e74052b5fa7d9397ecd876?pvs=21)
VulnerableCode-enhancements,Core (https://www.notion.so/Core-9905871309e74052b5fa7d9397ecd876?pvs=21)
HoloRouting,Core (https://www.notion.so/Core-9905871309e74052b5fa7d9397ecd876?pvs=21)
Gradle from source,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
Vula,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
Project management NGI0 Commons,Commons (https://www.notion.so/Commons-99d1578632e04ce6a3731cfb8fe8aba3?pvs=21)
Keyoxide-PKO,Review — amendment 1 (https://www.notion.so/Review-amendment-1-23559d49e1be802fb460cb4e3fe89cad?pvs=21)
Monorepo development NGI0 Core,Core (https://www.notion.so/Core-9905871309e74052b5fa7d9397ecd876?pvs=21)
Pretalx,Entrust — amendment 1 (https://www.notion.so/Entrust-amendment-1-23559d49e1be80739e33ff92d0b25d7a?pvs=21)
KiKit,Entrust — amendment 1 (https://www.notion.so/Entrust-amendment-1-23559d49e1be80739e33ff92d0b25d7a?pvs=21)
Flarum,Entrust — amendment 1 (https://www.notion.so/Entrust-amendment-1-23559d49e1be80739e33ff92d0b25d7a?pvs=21)
